Date,Type,Price
2023-06-29,GOLD-22k-1 g,5385
2023-06-29,SILVER-1 g-1 g,75.3
2023-06-30,GOLD-22k-1 g,5395
2023-06-30,SILVER-1 g-1 g,74.8
2023-07-01,GOLD-22k-1 g,5415
2023-07-01,SILVER-1 g-1 g,75.7
2023-07-02,GOLD-22k-1 g,5415
2023-07-02,SILVER-1 g-1 g,75.7
2023-07-03,GOLD-22k-1 g,5405
2023-07-03,SILVER-1 g-1 g,75.7
2023-07-04,GOLD-22k-1 g,5415
2023-07-04,SILVER-1 g-1 g,75.8
2023-07-05,GOLD-22k-1 g,5425
2023-07-05,SILVER-1 g-1 g,75.8
2023-07-06,GOLD-22k-1 g,5425
2023-07-06,SILVER-1 g-1 g,76.7
2023-07-07,GOLD-22k-1 g,5415
2023-07-07,SILVER-1 g-1 g,75.7
2023-07-08,GOLD-22k-1 g,5455
2023-07-08,SILVER-1 g-1 g,76.7
2023-07-09,GOLD-22k-1 g,5455
2023-07-09,SILVER-1 g-1 g,76.7
2023-07-11,GOLD-22k-1 g,5445
2023-07-11,SILVER-1 g-1 g,77.1
2023-07-12,GOLD-22k-1 g,5465
2023-07-12,SILVER-1 g-1 g,77
2023-07-13,GOLD-22k-1 g,5500
2023-07-13,SILVER-1 g-1 g,79.5
2023-07-14,GOLD-22k-1 g,5500
2023-07-14,SILVER-1 g-1 g,81.3
2023-07-15,GOLD-22k-1 g,5500
2023-07-15,SILVER-1 g-1 g,81.8
2023-07-16,GOLD-22k-1 g,5500
2023-07-16,SILVER-1 g-1 g,81.8
2023-07-17,GOLD-22k-1 g,5500
2023-07-17,SILVER-1 g-1 g,81.5
2023-07-18,GOLD-22k-1 g,5510
2023-07-18,SILVER-1 g-1 g,81.4
2023-07-19,GOLD-22k-1 g,5560
2023-07-19,SILVER-1 g-1 g,82
2023-07-20,GOLD-22k-1 g,5570
2023-07-20,SILVER-1 g-1 g,82.4
2023-07-21,GOLD-22k-1 g,5540
2023-07-21,SILVER-1 g-1 g,82
2023-07-22,GOLD-22k-1 g,5515
2023-07-22,SILVER-1 g-1 g,80.5
2023-07-23,GOLD-22k-1 g,5515
2023-07-23,SILVER-1 g-1 g,80.5
2023-07-24,GOLD-22k-1 g,5515
2023-07-24,SILVER-1 g-1 g,80.5
2023-07-25,GOLD-22k-1 g,5500
2023-07-25,SILVER-1 g-1 g,80
2023-07-26,GOLD-22k-1 g,5515
2023-07-26,SILVER-1 g-1 g,80.4
2023-07-27,GOLD-22k-1 g,5545
2023-07-27,SILVER-1 g-1 g,81.5
2023-07-28,GOLD-22k-1 g,5510
2023-07-28,SILVER-1 g-1 g,79.5
2023-07-29,GOLD-22k-1 g,5535
2023-07-29,SILVER-1 g-1 g,80
2023-07-30,GOLD-22k-1 g,5535
2023-07-30,SILVER-1 g-1 g,80
2023-08-02,GOLD-22k-1 g,5510
2023-08-02,SILVER-1 g-1 g,80.3
2023-08-03,GOLD-22k-1 g,5495
2023-08-03,SILVER-1 g-1 g,78.5
2023-08-04,GOLD-22k-1 g,5495
2023-08-04,SILVER-1 g-1 g,78.2
2023-08-05,GOLD-22k-1 g,5515
2023-08-05,SILVER-1 g-1 g,78.5
2023-08-06,GOLD-22k-1 g,5515
2023-08-06,SILVER-1 g-1 g,78.5
2023-08-07,GOLD-22k-1 g,5515
2023-08-07,SILVER-1 g-1 g,78.3
2023-08-08,GOLD-22k-1 g,5505
2023-08-08,SILVER-1 g-1 g,77.3
2023-08-09,GOLD-22k-1 g,5495
2023-08-09,SILVER-1 g-1 g,76.7
2023-08-10,GOLD-22k-1 g,5470
2023-08-10,SILVER-1 g-1 g,76.2
2023-08-11,GOLD-22k-1 g,5455
2023-08-11,SILVER-1 g-1 g,76.2
2023-08-12,GOLD-22k-1 g,5465
2023-08-12,SILVER-1 g-1 g,76.2
2023-08-13,GOLD-22k-1 g,5465
2023-08-13,SILVER-1 g-1 g,76.2
2023-08-14,GOLD-22k-1 g,5465
2023-08-14,SILVER-1 g-1 g,76
2023-08-15,GOLD-22k-1 g,5455
2023-08-15,SILVER-1 g-1 g,76
2023-08-16,GOLD-22k-1 g,5445
2023-08-16,SILVER-1 g-1 g,76.2
2023-08-17,GOLD-22k-1 g,5410
2023-08-17,SILVER-1 g-1 g,75.7
2023-08-18,GOLD-22k-1 g,5410
2023-08-18,SILVER-1 g-1 g,75.7
2023-08-19,GOLD-22k-1 g,5410
2023-08-19,SILVER-1 g-1 g,76.5
2023-08-20,GOLD-22k-1 g,5410
2023-08-20,SILVER-1 g-1 g,76.5
2023-08-21,GOLD-22k-1 g,5410
2023-08-21,SILVER-1 g-1 g,76.7
2023-08-22,GOLD-22k-1 g,5420
2023-08-22,SILVER-1 g-1 g,78
2023-08-23,GOLD-22k-1 g,5430
2023-08-23,SILVER-1 g-1 g,78.5
2023-08-24,GOLD-22k-1 g,5450
2023-08-24,SILVER-1 g-1 g,80
2023-08-25,GOLD-22k-1 g,5450
2023-08-25,SILVER-1 g-1 g,79.5
2023-08-26,GOLD-22k-1 g,5450
2023-08-26,SILVER-1 g-1 g,80
2023-08-27,GOLD-22k-1 g,5450
2023-08-27,SILVER-1 g-1 g,80
2023-08-28,GOLD-22k-1 g,5450
2023-08-28,SILVER-1 g-1 g,80
2023-08-29,GOLD-22k-1 g,5470
2023-08-29,SILVER-1 g-1 g,80.2
2023-08-30,GOLD-22k-1 g,5500
2023-08-30,SILVER-1 g-1 g,80.7
2023-08-31,GOLD-22k-1 g,5515
2023-08-31,SILVER-1 g-1 g,80.7
2023-08-31,GOLD-22k-1 g,5515.00
2023-08-31,SILVER-1 g-1 g,80.70
2023-08-31,GOLD-22k-1 g,5515.00
2023-08-31,SILVER-1 g-1 g,80.70
2023-09-01,GOLD-22k-1 g,5505.00
2023-09-01,SILVER-1 g-1 g,80.20
2023-09-02,GOLD-22k-1 g,5520.00
2023-09-02,SILVER-1 g-1 g,80.00
2023-09-03,GOLD-22k-1 g,5520.00
2023-09-03,SILVER-1 g-1 g,80.00
2023-09-04,GOLD-22k-1 g,5530.00
2023-09-04,SILVER-1 g-1 g,80.00
2023-09-09,GOLD-24k-1 g,5988
2023-09-09,GOLD-22k-1 g,5485
2023-09-09,GOLD-18k-1 g,4491
2023-09-09,PLATINUM-1 g-1 g,3292
2023-09-09,SILVER-1 g-1 g,77
2023-09-09,GOLD-24k-1 g,5988
2023-09-09,GOLD-22k-1 g,5485
2023-09-09,GOLD-18k-1 g,4491
2023-09-09,PLATINUM-1 g-1 g,3292
2023-09-09,SILVER-1 g-1 g,77
2023-09-09,GOLD-24k-1 g,5988
2023-09-09,GOLD-22k-1 g,5485
2023-09-09,GOLD-18k-1 g,4491
2023-09-09,PLATINUM-1 g-1 g,3292
2023-09-09,SILVER-1 g-1 g,77
2023-09-09,GOLD-24k-1 g,5988
2023-09-09,GOLD-22k-1 g,5485
2023-09-09,GOLD-18k-1 g,4491
2023-09-09,PLATINUM-1 g-1 g,3292
2023-09-09,SILVER-1 g-1 g,77
2023-11-18,GOLD-24k-1 g,6174
2023-11-18,GOLD-22k-1 g,5655
2023-11-18,GOLD-18k-1 g,4630
2023-11-18,PLATINUM-1 g-1 g,3285
2023-11-18,SILVER-1 g-1 g,79
2023-11-18,GOLD-22k-1 g,5655
2023-11-18,SILVER-1 g-1 g,79.00
2023-11-18,PLATINUM-1 g-1 g,3282
